Line,Category,,2019M01,2019M02,2019M03,2019M04,2019M05,2019M06,2019M07,2019M08,2019M09,2019M10,2019M11,2019M12,2020M01,2020M02,2020M03,2020M04,2020M05,2020M06,2020M07,2020M08,2020M09
3,  Durable goods,DDURRC,1489338,1476868,1517158,1520517,1539628,1547807,1546742,1550766,1561000,1552198,1555846,1554348,1567879,1552496,1368958,1199629,1548706,1686563,1725182,1741183,1792575
4,    Motor vehicles and parts,DMOTRC,505405,493199,526990,520059,526272,528448,521973,522425,532796,522150,531184,531252,528205,514181,411296,367912,527916,558120,573695,585999,621299
5,      New motor vehicles (55),DNMVRC,270156,265172,284806,280681,288288,291327,285982,285932,296977,284848,289619,294780,294499,281780,218323,205918,280194,284637,296850,306311,334157
6,        New autos,DNEARC,63697,56758,57492,59422,54490,57520,53191,53766,57255,53538,53025,56344,52768,50961,37935,29443,40283,42026,48762,49953,53258
7,          New domestic autos,DNDCRC,47043,40898,42353,44414,39057,41172,37958,39130,42728,39003,38973,42835,39269,37692,29809,23131,29548,31416,37762,38988,41450
8,          New foreign autos,DNFCRC,16654,15860,15139,15008,15433,16349,15233,14635,14527,14535,14051,13509,13498,13270,8126,6312,10735,10610,10999,10965,11809
9,        New light trucks,DNWTRC,206459,208415,227313,221259,233798,233807,232791,232166,239722,231311,236594,238435,241731,230818,180388,176475,239911,242610,248088,256359,280899
10,      Net purchases of used motor vehicles (56),DNPVRC,159972,151399,164081,161206,159474,158559,157435,156590,157084,157506,161793,157490,154206,153667,124340,96852,166345,187331,191481,193885,200990
11,        Used autos,DNPURC,52084,48476,51860,50439,49196,48255,46998,46199,45892,45485,46239,44740,43646,43484,34952,26293,44992,49497,51093,52331,55022
12,          Net transactions in used autos,DNETRC,22899,20933,21906,20926,20069,19381,18622,18088,17787,17494,17677,17079,16677,16617,13482,10300,17172,18827,19414,19868,20857
13,          Used auto margin,DMARRC,30920,29278,31690,31248,30862,30609,30111,29846,29841,29726,30297,29396,28705,28602,23205,17728,29556,32405,33415,34197,35900
14,          Employee reimbursement,DREERC,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735
15,        Used light trucks,DUTRRC,107887,102923,112221,110767,110278,110304,110437,110391,111191,112022,115554,112750,110560,110183,89388,70559,121353,137834,140387,141554,145968
16,          Net transactions in used trucks,DUTNRC,74583,71157,77591,76591,76259,76281,76376,76348,76904,77480,79925,77986,76471,76211,61827,48804,83936,95336,97102,97909,100962
17,          Used truck margin,DUTMRC,33305,31766,34630,34175,34020,34023,34060,34043,34287,34541,35629,34764,34089,33973,27561,21755,37416,42498,43285,43645,45006
18,      Motor vehicle parts and accessories (58),DMVPRC,75278,76627,78103,78171,78510,78561,78556,79903,78735,79795,79772,78982,79500,78734,68633,65142,81377,86153,85365,85803,86151
19,        Tires,DTATRC,31805,32266,32715,32820,32902,32772,32839,33386,32950,33579,33271,32930,33307,33111,29574,28264,33853,35618,35355,35511,35357
20,        Accessories and parts,DPAARC,43473,44362,45389,45352,45608,45790,45717,46518,45785,46216,46501,46052,46193,45624,39059,36879,47524,50535,50010,50292,50794
21,    Furnishings and durable household equipment,DFDHRC,350059,348489,350659,355208,357848,359026,360636,362780,361967,362710,360843,359056,367150,367684,342704,294501,361862,399618,400511,402316,406468
22,      Furniture and furnishings (parts of 31 and 32),DFFFRC,216661,217156,219167,222160,224667,225562,226066,227157,227605,227789,226530,224464,230046,230754,212570,176082,223731,252134,252926,254173,256333
23,        Furniture,DFNRRC,125146,125858,127755,129919,132020,132034,132758,133233,134167,134066,133021,131631,135335,135809,122795,100020,133643,153011,152745,151189,152293
24,"        Clocks, lamps, lighting fixtures, and other household decorative items",DCLFRC,43628,43904,44108,44515,45202,45531,45563,45459,45281,45547,45208,44646,45887,45924,41527,34848,42419,47507,48156,48676,49422
25,        Carpets and other floor coverings,DFLRRC,25269,25020,24805,24895,24469,24946,24677,25057,24953,24747,25038,24866,25418,25601,24824,20992,24228,26442,26730,28810,28950
26,        Window coverings,DWCTRC,22617,22374,22498,22831,22976,23050,23068,23409,23204,23429,23263,23321,23406,23420,23426,20221,23442,25174,25294,25497,25668
27,      Household appliances (part of 33),DAPPRC,58230,57591,57581,58256,58267,58263,58932,59130,58613,58919,58679,58946,59753,59822,55429,52088,60188,63803,63731,63661,64726
28,        Major household appliances,DMHARC,48939,48285,48250,48812,48730,48694,49311,49496,49028,49267,49096,49415,50072,50118,45506,42754,49685,52953,52867,52827,53743
29,        Small electric household appliances,DSEARC,9291,9305,9331,9443,9538,9570,9621,9634,9585,9652,9583,9531,9681,9704,9924,9334,10503,10850,10864,10834,10982
30,"      Glassware, tableware, and household utensils (34)",DUTERC,42115,42148,42235,42622,43042,43375,43605,43689,43447,43669,43288,42875,43685,43792,40629,33327,40490,45839,46631,46570,47313
31,        Dishes and flatware,DCHNRC,19610,19625,19666,19846,20041,20196,20304,20343,20230,20334,20156,19964,20341,20391,18918,15518,18853,21344,21713,21684,22030
32,        Nonelectric cookware and tableware,DNECRC,22505,22523,22569,22776,23000,23178,23302,23346,23217,23336,23132,22911,23344,23401,21711,17809,21637,24495,24918,24886,25283
33,      Tools and equipment for house and garden (35),DTOORC,33053,31594,31677,32170,31873,31826,32033,32804,32302,32333,32347,32771,33667,33317,34075,33004,37452,37842,37223,37912,38096
34,"        Tools, hardware, and supplies",DHDWRC,28554,27283,27352,27811,27555,27483,27646,28343,27893,27909,27924,28316,29101,28801,29369,28432,32360,32699,32144,32774,32918
35,        Outdoor equipment and supplies,DLWNRC,4499,4312,4324,4359,4318,4344,4387,4461,4409,4424,4423,4455,4566,4516,4706,4572,5092,5144,5080,5138,5178
36,    Recreational goods and vehicles,DREQRC,417083,417676,420935,425266,433475,437888,440256,441936,440928,443524,441551,439854,446328,448006,431105,405091,491177,518616,522828,518596,525555
37,"      Video, audio, photographic, and information processing equipment and media (75, 76, and part of 93)",DVAPRC,245871,247152,248039,252320,256669,260088,261232,261150,261409,262539,260031,259422,263334,263922,262463,247935,274399,286868,298834,299135,299127
38,        Video and audio equipment,DVAARC,89280,89920,90537,92714,93431,95607,96059,94930,95258,95237,94429,93932,95493,95739,93904,86063,94318,99335,103037,102875,103149
39,          Televisions,DTVSRC,33385,33442,33677,33996,34492,34685,34958,34912,34834,34998,34718,34688,34971,35009,32982,29631,32703,34786,36127,36008,36218
40,          Other video equipment,DOVARC,15010,14875,14834,14859,14980,14929,14932,14998,14995,15091,14986,14987,15184,15215,15400,14239,15660,16405,17064,17077,17074
41,          Audio equipment,DAUDRC,24939,25523,26103,26992,28125,28914,29308,29327,29157,29235,28848,28688,28946,28915,28848,27675,30512,31350,32417,32441,32551
42,          Recording media,DRECRC,15946,16079,15924,16867,15835,17079,16861,15693,16272,15913,15877,15569,16392,16599,16675,14518,15442,16795,17430,17349,17307
43,"            Audio discs, tapes, vinyl, and permanent digital downloads",DRTDRC,2635,2810,2551,3392,2214,3409,3119,1944,2556,2123,2184,1885,2583,2774,2166,1273,1192,2057,2343,2298,2170
44,"            Video discs, tapes, and permanent digital downloads",DOVERC,13310,13270,13373,13475,13621,13670,13742,13750,13717,13790,13693,13685,13809,13825,14509,13245,14251,14738,15087,15052,15136
45,        Photographic equipment,DCAMRC,5703,5679,5708,5743,5833,5852,5875,5890,5885,5903,5855,5851,5919,5902,5686,4878,5449,5931,6344,6356,6342
46,        Information processing equipment,DIPERC,150888,151554,151794,153863,157404,158629,159298,160330,160266,161399,159747,159639,161922,162281,162873,156994,174632,181601,189452,189904,189636
47,          Personal computers/tablets and peripheral equipment,DCPPRC,54828,54898,54911,55526,56664,57014,57186,57455,57365,57705,57092,57049,57838,57939,60255,57533,63882,66576,69477,69633,69527
48,          Computer software and accessories,DCPSRC,95280,95870,96100,97542,99930,100797,101291,102054,102087,102873,101848,101781,103263,103517,101763,98584,109774,114048,119001,119298,119129
49,"          Calculators, typewriters, and other information processing equipment",DOIPRC,780,786,783,796,811,818,820,821,814,820,807,809,820,825,856,876,976,977,974,974,980
50,"      Sporting equipment, supplies, guns, and ammunition (part of 80)",DSPGRC,76532,76393,77114,78277,79898,80708,81153,81861,81427,81989,80949,82797,83200,82546,82047,77998,97748,104900,100932,98100,100876
51,      Sports and recreational vehicles (79),DWHLRC,67099,65638,67488,65742,67625,67603,68602,69805,68515,69020,71287,67826,70934,71662,59143,53878,89764,95726,91225,90525,94071
52,        Motorcycles,DMCYRC,12528,11901,12534,12167,12483,12824,12965,13313,12667,12861,13078,13186,13999,13239,11689,11809,18344,17385,16377,17075,17768
53,        Bicycles and accessories,DBCYRC,6048,6087,6114,6228,6270,6331,6348,6355,6360,6405,6257,6471,6397,6365,6426,5878,7526,8334,7956,7588,7827
54,"        Pleasure boats, aircraft, and other recreational vehicles",DBARRC,48523,47650,48840,47347,48872,48449,49289,50136,49487,49753,51952,48168,50539,52057,41027,36192,63894,70007,66893,65861,68476
55,          Pleasure boats,DBOARC,18490,17496,17828,17330,17643,16942,17332,17692,17782,18003,19023,17829,17481,18721,15922,14096,22490,24337,23476,23599,24498
56,          Pleasure aircraft,DAIRRC,1602,1521,1602,1555,1596,1639,1657,1702,1619,1644,1672,1686,1790,1692,1494,1510,2345,2222,2094,2183,2271
57,          Other recreational vehicles,DREVRC,28431,28633,29410,28462,29633,29867,30299,30742,30085,30106,31257,28654,31269,31643,23611,20586,39059,43447,41323,40079,41706
58,      Recreational books (part of 90),DRBKRC,21184,21971,21881,22295,22654,22792,22583,22293,22716,23067,22586,22974,21910,22975,21628,20313,23054,24072,24724,24175,24611
59,      Musical instruments (part of 80),DMSCRC,6397,6522,6413,6632,6630,6698,6687,6827,6861,6909,6697,6835,6951,6902,5825,4967,6212,7050,7113,6661,6870
60,    Other durable goods,DODGRC,216791,217504,218573,219985,222032,222445,223876,223626,225309,223814,222268,224186,226195,222624,183854,132125,167752,210208,228148,234272,239253
61,      Jewelry and watches (part of 119),DJRYRC,74050,74858,75337,76293,76296,76240,78055,78331,79517,77491,75879,77825,79599,76151,59256,37772,55660,79193,84319,88082,90410
62,        Jewelry,DJLYRC,60735,61403,61792,62599,62568,62473,64017,64221,65219,63497,62159,63754,65260,62357,48516,30672,45436,64887,69378,72502,74401
63,        Watches,DWTCRC,13315,13455,13545,13694,13728,13767,14037,14110,14298,13994,13721,14071,14339,13794,10740,7100,10224,14306,14941,15580,16009
64,      Therapeutic appliances and equipment (42),DTAERC,71445,71410,71501,71607,72849,73091,72794,72367,72797,73106,73413,72895,73321,72782,64317,50136,58047,64741,71965,73228,74106
65,        Therapeutic medical equipment,DTMERC,33073,33102,33166,33349,33964,34185,34133,34055,34188,34386,34352,34168,34342,34256,32117,26871,30214,32710,35473,35849,36182
66,        Corrective eyeglasses and contact lenses,DEYERC,38372,38308,38335,38258,38885,38906,38661,38311,38609,38719,39061,38726,38979,38527,32200,23265,27833,32031,36492,37379,37924
67,      Educational books (96),DEBKRC,11028,11442,11395,11611,11796,11868,11757,11603,11827,12010,11759,11964,11400,11960,11241,10534,11963,12505,12850,12560,12788
68,      Luggage and similar personal items (part of 119),DLUGRC,29743,29696,30017,30224,30507,30726,30666,30658,30452,30535,30736,30994,31020,31179,21545,14339,19763,26835,28370,29597,31537
69,      Telephone and related communication equipment,DTCERC,30523,30098,30323,30250,30585,30520,30604,30667,30716,30671,30480,30509,30855,30552,27494,19344,22319,26934,30645,30805,30411
