Consumption Category ,2015M01,2015M02,2015M03,2015M04,2015M05,2015M06,2015M07,2015M08,2015M09,2015M10,2015M11,2015M12,2016M01,2016M02,2016M03,2016M04,2016M05,2016M06,2016M07,2016M08,2016M09,2016M10,2016M11,2016M12,2017M01,2017M02,2017M03,2017M04,2017M05,2017M06,2017M07,2017M08,2017M09,2017M10,2017M11,2017M12,2018M01,2018M02,2018M03,2018M04,2018M05,2018M06,2018M07,2018M08,2018M09,2018M10,2018M11,2018M12,2019M01,2019M02,2019M03,2019M04,2019M05,2019M06,2019M07,2019M08,2019M09,2019M10,2019M11,2019M12,2020M01,2020M02,2020M03,2020M04,2020M05,2020M06,2020M07,2020M08,2020M09
      Personal consumption expenditures,"11,767,040","11,798,728","11,829,060","11,861,873","11,899,272","11,915,706","11,963,717","11,996,510","12,013,327","12,022,367","12,049,883","12,093,803","12,105,271","12,184,064","12,154,945","12,191,213","12,216,541","12,269,673","12,278,873","12,297,874","12,336,690","12,338,019","12,365,828","12,436,150","12,451,338","12,456,426","12,524,018","12,519,462","12,523,935","12,555,894","12,574,606","12,585,026","12,653,955","12,668,506","12,730,129","12,802,590","12,784,949","12,777,083","12,832,264","12,864,499","12,908,159","12,921,637","12,962,679","13,002,104","12,984,158","13,044,270","13,086,446","12,969,430","13,065,002","13,060,892","13,153,564","13,177,506","13,209,567","13,251,261","13,278,974","13,305,532","13,319,540","13,344,260","13,356,203","13,360,598","13,416,701","13,402,409","12,536,109","10,999,339","11,936,742","12,644,667","12,803,334","12,894,716","13,053,929"
Goods,"4,014,969","4,022,791","4,058,192","4,062,611","4,079,113","4,082,367","4,110,216","4,123,925","4,127,108","4,109,067","4,141,713","4,158,581","4,156,985","4,201,252","4,185,746","4,194,440","4,216,132","4,258,587","4,256,502","4,262,855","4,274,674","4,273,148","4,267,757","4,319,071","4,316,312","4,322,395","4,346,038","4,368,750","4,372,305","4,401,234","4,400,502","4,409,411","4,464,913","4,468,799","4,512,097","4,543,987","4,524,539","4,525,020","4,545,267","4,554,764","4,605,284","4,575,355","4,600,283","4,619,246","4,612,591","4,644,638","4,701,674","4,573,222","4,659,380","4,636,100","4,710,378","4,732,605","4,758,234","4,777,909","4,797,305","4,811,544","4,806,711","4,813,673","4,812,222","4,809,568","4,836,425","4,817,167","4,785,163","4,187,078","4,788,176","5,056,974","5,111,153","5,094,280","5,204,134"
  Durable goods,"1,357,142","1,358,195","1,387,102","1,392,611","1,397,667","1,398,961","1,409,935","1,421,938","1,414,141","1,408,426","1,428,340","1,433,089","1,428,238","1,454,601","1,445,530","1,446,257","1,456,542","1,483,499","1,493,596","1,497,139","1,510,262","1,516,382","1,505,774","1,544,507","1,532,880","1,536,160","1,541,260","1,553,463","1,557,040","1,573,281","1,584,172","1,580,259","1,619,549","1,626,612","1,649,449","1,660,969","1,653,125","1,661,482","1,671,064","1,680,698","1,697,952","1,693,129","1,696,727","1,709,454","1,705,380","1,717,709","1,745,343","1,679,731","1,707,311","1,698,341","1,749,352","1,755,669","1,776,879","1,778,824","1,788,349","1,796,863","1,808,297","1,801,409","1,813,210","1,820,411","1,835,200","1,813,924","1,606,760","1,427,096","1,831,326","1,975,356","2,006,564","2,008,361","2,066,003"
    Motor vehicles and parts,"454,923","459,403","476,364","479,466","477,788","475,530","478,319","481,932","475,228","467,143","479,886","468,199","471,354","483,093","469,840","476,173","476,551","484,744","494,746","493,854","499,661","505,052","492,591","516,405","503,414","501,194","496,147","495,060","501,222","510,606","513,174","503,747","529,178","535,482","532,165","534,710","534,978","525,107","532,851","534,848","541,422","532,952","535,243","538,979","533,016","537,170","541,065","533,059","516,758","506,094","538,929","529,813","536,483","537,548","531,844","531,600","541,794","532,501","542,632","542,527","540,229","525,343","422,041","387,073","544,486","560,369","569,535","574,807","600,551"
      New motor vehicles (55),"261,846","263,596","277,986","274,782","273,556","272,615","273,267","277,852","270,609","263,263","269,826","258,826","260,109","260,543","255,312","262,740","264,070","265,673","274,066","269,368","276,847","275,683","266,518","274,799","268,738","274,510","266,229","264,997","266,993","270,952","273,279","266,616","281,801","290,148","283,975","284,257","281,769","274,140","280,188","283,491","283,204","278,244","276,968","282,422","278,245","284,564","286,405","280,868","263,751","258,732","277,095","272,961","280,351","283,464","278,257","278,478","289,364","277,641","282,457","287,041","286,841","273,844","213,363","201,248","273,077","277,213","287,123","296,232","322,152"
        New autos,"85,633","84,139","90,267","84,928","85,875","85,911","82,997","87,332","82,804","81,737","81,462","79,358","76,442","76,186","74,282","73,344","75,983","76,731","78,754","76,286","78,437","78,100","76,555","78,961","72,595","72,103","71,048","72,432","70,749","69,168","71,344","70,437","70,831","73,092","71,570","67,161","65,795","67,008","63,440","66,057","65,452","63,066","64,085","64,669","61,947","65,539","64,906","62,075","64,420","57,484","58,058","59,986","54,933","57,935","53,603","54,181","57,813","54,075","53,627","56,942","53,205","51,192","38,290","29,792","40,683","42,285","48,706","49,830","52,975"
          New domestic autos,"63,579","61,831","65,480","62,505","63,846","64,136","62,051","64,910","61,137","60,665","60,373","59,188","56,759","56,356","54,830","54,063","55,757","56,278","57,730","55,569","58,332","58,394","56,980","59,182","53,957","53,641","52,630","54,182","53,056","51,613","53,166","51,877","51,327","53,702","52,426","48,361","47,898","49,553","47,184","49,787","48,719","47,860","49,597","50,201","46,337","50,336","49,313","47,057","47,576","41,420","42,769","44,835","39,374","41,468","38,251","39,431","43,144","39,393","39,415","43,289","39,594","37,862","30,087","23,405","29,841","31,609","37,719","38,891","41,228"
          New foreign autos,"22,054","22,308","24,787","22,422","22,029","21,774","20,945","22,421","21,667","21,071","21,089","20,170","19,682","19,830","19,452","19,280","20,226","20,452","21,024","20,717","20,104","19,706","19,575","19,778","18,638","18,461","18,418","18,250","17,693","17,555","18,178","18,560","19,503","19,389","19,143","18,800","17,897","17,454","16,256","16,270","16,732","15,206","14,488","14,467","15,609","15,203","15,593","15,018","16,843","16,063","15,289","15,151","15,559","16,467","15,352","14,749","14,669","14,681","14,212","13,653","13,610","13,330","8,202","6,387","10,842","10,676","10,987","10,938","11,746"
        New light trucks,"175,839","179,018","187,303","189,300","187,174","186,210","189,660","190,012","187,221","181,009","187,731","178,915","182,969","183,639","180,309","188,511","187,303","188,167","194,493","192,222","197,528","196,703","189,165","195,012","195,100","201,244","194,108","191,585","195,144","200,529","200,755","195,079","209,585","215,643","211,029","215,451","214,302","205,685","214,979","215,756","216,047","213,435","211,222","216,023","214,498","217,299","219,707","216,953","197,926","199,565","217,043","211,161","223,195","223,406","222,401","222,070","229,315","221,347","226,498","227,861","231,204","220,351","173,202","169,371","229,576","232,116","235,746","243,627","266,102"
      Net purchases of used motor vehicles (56),"125,849","128,781","129,436","135,642","134,831","132,674","134,551","133,908","134,849","133,892","139,860","139,860","141,337","153,094","145,497","144,535","142,730","149,276","150,770","154,828","152,089","159,195","156,500","169,061","164,329","156,362","160,430","159,957","164,765","170,696","170,426","168,587","177,005","174,566","176,906","177,652","183,298","181,231","182,958","180,675","188,067","184,988","188,760","187,021","184,468","181,468","183,403","182,436","184,326","176,676","190,372","185,235","184,123","181,502","180,393","178,825","179,338","181,457","187,750","183,160","181,034","180,422","146,622","124,183","201,238","208,641","207,395","201,801","201,579"
