Consumption Category ,2015M01,2015M02,2015M03,2015M04,2015M05,2015M06,2015M07,2015M08,2015M09,2015M10,2015M11,2015M12,2016M01,2016M02,2016M03,2016M04,2016M05,2016M06,2016M07,2016M08,2016M09,2016M10,2016M11,2016M12,2017M01,2017M02,2017M03,2017M04,2017M05,2017M06,2017M07,2017M08,2017M09,2017M10,2017M11,2017M12,2018M01,2018M02,2018M03,2018M04,2018M05,2018M06,2018M07,2018M08,2018M09,2018M10,2018M11,2018M12,2019M01,2019M02,2019M03,2019M04,2019M05,2019M06,2019M07,2019M08,2019M09,2019M10,2019M11,2019M12,2020M01,2020M02,2020M03,2020M04,2020M05,2020M06,2020M07,2020M08,2020M09
Gasoline and other motor fuel,409147,409566,410240,413904,414094,414063,417522,416371,420458,416831,417256,419862,418314,420348,427268,420725,419042,417795,415954,416765,422891,404721,417957,420135,405352,416535,419172,417489,421023,420785,416367,417619,418013,416925,411053,416935,416317,403438,422700,410853,416267,418050,416488,415046,407980,412312,417291,415220,416232,413890,411127,419375,411998,413314,410698,417331,411279,417060,411946,403003,414196,412515,348239,258098,312138,352503,363811,369140,374007
Lubricants and fluids,7997,7750,7627,7552,7361,7284,7222,7093,7110,7008,6995,6978,6912,7120,7029,6847,6889,6901,6905,6919,7025,6738,6976,7020,6789,7002,7072,7075,7155,7200,7168,7222,7287,7293,7254,7410,7458,7307,7680,7497,7623,7686,7681,7666,7539,7618,7717,7627,7617,7591,7545,7660,7535,7555,7506,7612,7489,7564,7541,7358,7555,7541,6383,4743,5721,6446,6656,6742,6831
Fuel oil,28549,33918,27675,26561,25071,25363,25709,26083,26810,26608,23084,23072,28379,29419,24366,28036,27760,26275,25779,25448,24691,24557,23581,25312,23276,23767,24572,24777,26501,25995,26111,25794,24952,23538,25249,26953,28550,22728,23010,25798,24370,23083,23760,22796,22784,22927,22628,23339,24220,23751,24371,23015,22774,23604,23258,23221,22515,22061,23684,21250,19725,21692,23366,27167,30496,27746,26913,26182,28497
Other fuels,1973,2344,2053,1845,1782,1809,1796,1730,1736,1662,1457,1326,1537,1507,1304,1536,1584,1545,1469,1486,1448,1510,1446,1587,1467,1436,1502,1497,1557,1500,1465,1518,1530,1460,1635,1772,2018,1560,1574,1788,1675,1628,1687,1646,1635,1710,1659,1553,1614,1628,1677,1610,1589,1638,1621,1618,1587,1565,1699,1497,1428,1438,1347,1361,1418,1388,1398,1425,1479
Prescription drugs,338316,335646,338817,339516,342481,344160,347730,350601,350147,353385,353601,353339,350235,351065,348199,347136,348964,349445,345013,343699,340563,341079,343327,344792,347114,348488,351228,355610,355946,355413,352011,349195,354339,356804,356213,355886,354270,355288,354777,357672,356357,355663,362583,363028,365152,369885,370740,373663,376230,383557,386897,381678,386486,390877,392962,396058,397687,394365,395888,393525,397892,404197,429613,392311,396323,404648,408873,412429,417457
Nonprescription drugs,63661,63165,64196,63846,63865,65068,65258,65426,66007,65706,66191,67207,67415,68343,68235,68413,68456,68929,69071,68840,68280,68345,68411,68736,69181,69345,69299,69707,69170,69750,69602,70478,71819,71507,72030,72215,72427,72462,72183,72607,73583,72355,73271,74088,74782,74274,75516,73027,76356,76578,76869,76924,77264,77546,77802,76594,77062,77640,76750,77449,78626,79126,85388,76229,79927,82875,85731,84330,84740
Other medical products,5257,5249,5271,5258,5237,5335,5434,5475,5381,5489,5532,5607,5612,5676,5692,5736,5741,5812,5736,5815,5839,5784,5803,5850,5820,5818,5819,5871,5840,5858,6005,6034,5994,5991,6062,6073,5970,6020,6184,6241,6171,6154,6129,6191,6175,6213,6387,6040,6348,6393,6504,6409,6423,6428,6545,6531,6584,6565,6495,6523,6612,6614,6215,5233,5800,6284,6791,6945,7151
Household cleaning products,36698,36301,36282,35978,36021,36172,36323,36534,36737,36618,36847,36853,36833,37060,36852,37320,37185,37210,37093,37366,37229,37360,37361,37205,37899,37837,38135,37992,37952,38521,38806,39119,39664,39278,39582,39593,39996,39974,39672,39270,39972,39296,39505,39635,39557,39654,40135,39173,39808,39000,39233,39404,39403,39517,39833,39976,39676,39837,39746,39571,39791,40017,46227,40557,42437,42594,41637,41494,41810
Household paper products,36414,36067,36221,35835,36243,36405,36509,36564,36781,36539,36570,36730,36518,36914,36637,36949,37165,37337,37230,37019,36675,37236,37104,36921,37697,37324,37692,37629,37337,37726,37785,37989,38273,38301,38830,38859,38666,38577,38820,38520,39647,39002,38684,38713,38859,39054,38820,37656,38486,38043,37969,38330,38133,38033,38614,38772,38374,38328,37732,37652,38042,37937,44706,37601,39052,39452,37998,37965,39656
Household linens,41471,41486,42591,42450,42927,42092,42803,43223,43234,43720,43795,43635,43545,43649,45025,44907,45587,46673,45277,45675,45647,45371,46102,48217,47460,46417,46215,46802,48676,50195,49258,49935,48677,48172,51163,50925,48119,48598,49152,50263,51577,50756,51225,51482,50682,49427,52798,51211,50275,52134,52048,53455,53907,55545,55025,54317,53697,54748,56545,56232,53555,52812,50236,42161,51225,54864,56319,56326,56894
Sewing items,1737,1729,1714,1692,1710,1723,1688,1719,1716,1645,1669,1646,1671,1702,1704,1791,1776,1825,1751,1753,1856,1740,1675,1694,1822,1802,1882,1949,1982,1977,1920,1889,1951,1892,1922,1947,1838,1881,1928,1931,1945,1851,1868,1931,1903,1874,1863,1717,1777,1744,1689,1762,1810,1785,1764,1827,1843,1860,1805,1838,1836,1834,1755,1490,2008,2337,2223,1904,2040
